Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Cohort,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass
T4,Low,High,4,337,T4_4_337,269_15,269,2800,1,0.000635485,7.274439097,648.1414839,404.229209,0.050160643,0.977206255,0.0111
T4,Low,High,4,360,T4_4_360,207_14B,207,3218.6,2,0.000712937,4.911110065,649.2133,490.8007269,0.053994907,0.599786146,0.0068
T4,Low,High,4,380,T4_4_380,328_2,328,3660,1,0.000450894,5.903522813,648.4836452,351.4515503,0.033122754,0.988962551,0.0115
T4,Low,High,4,384,T4_4_384,303_8,303,3570,1,0.000456692,1.098564087,649.6754667,591.3427453,0.038048148,0.957636324,0.0131
T4,Low,High,4,386,T4_4_386,102_5,102,3072,1,0.000344112,6.210436999,649.1961333,258.2958633,0.026126505,0.476201669,0.0043
T4,Low,High,4,390,T4_4_390,210_3,210,3161.3,2,0.000875618,0.503021282,649.7025333,624.091033,0.066702618,0.961292245,0.0105
T4,Low,High,5,424,T4_5_424,49_2,49,2935,1,0.000845647,4.342770946,648.6725484,538.2512412,0.070696683,1.085521884,0.0108
T4,Low,High,5,430,T4_5_430,328_2,328,3660,1,0.00097622,5.276534648,649.5209355,515.8325214,0.070447715,0.325161941,0.0029
T4,Low,High,5,435,T4_5_435,207_14B,207,3218.6,2,0.000252114,3.714988679,649.5389667,339.7423152,0.019869942,0.475126398,0.006
T4,Low,High,5,436,T4_5_436,50_1,50,2934,2,0.001098917,7.227996296,649.1734667,501.8551504,0.086101818,0.423370022,0.004
T4,Low,High,5,440,T4_5_440,56_3,56,3132,2,0.001296838,8.891271762,647.5916333,484.5885127,0.095375577,0.967385447,0.0094
T4,Low,High,5,445,T4_5_445,212_7,212,3131,1,0.00187562,9.216493855,648.4215484,527.7643416,0.138722418,0.622796945,0.0056
T4,Low,High,5,447,T4_5_447,269_15,269,2800,1,0.001666106,11.74320016,646.4809355,489.7838569,0.131284149,1.106883934,0.0137
T4,Low,High,5,453,T4_5_453,194_2,194,3108,1,0.001276821,4.943913199,649.3078387,550.5415222,0.093367035,0.473405965,0.0055
T4,Low,High,5,460,T4_5_460,48_2,48,2951,2,0.00084348,2.819458144,649.4286667,566.3697438,0.064605284,0.659714581,0.0055
T4,Low,High,5,461,T4_5_461,107_4,107,3091,1,0.000985883,3.542463261,649.6435,563.8175581,0.077788142,0.315556187,0.0043
T4,Low,High,5,466,T4_5_466,49_2,49,2935,2,0.001508216,0.987810788,649.5944333,621.881955,0.113659707,0.800718447,0.0078
T4,Low,High,5,479,T4_5_479,255_28,255,3341.67,1,0.000497627,7.165601319,647.6532581,331.4518336,0.037635294,1.256561653,0.0146
T4,Low,High,5,480,T4_5_480,212_7,212,3131,1,0.000647625,4.676824361,649.3369667,491.2757458,0.051341336,0.507026104,0.0039
T4,Low,High,5,488,T4_5_488,211_13A,211,3121.58,1,0.000612013,4.928361155,649.3399333,466.2901219,0.046273271,0.521291365,0.0047
T4,Low,High,5,490,T4_5_490,189_1,189,3273,2,0.001568063,3.053107839,649.0854839,596.4484086,0.123996951,0.903155928,0.0076
T4,Low,High,6,494,T4_6_494,283_22,283,2890,2,0.000151922,3.467618998,649.3908333,152.5196215,0.011375211,0.700144769,0.0074
T4,Low,High,6,497,T4_6_497,255_28,255,3341.67,1,0.001635925,2.795325083,648.6459032,604.4652772,0.140374943,1.405737579,0.0086
T4,Low,High,6,506,T4_6_506,328_2,328,3660,1,0.000407344,3.459749669,649.1667,457.1713055,0.030803587,0.901722234,0.0079
T4,Low,High,6,515,T4_6_515,212_7,212,3131,1,0.000704147,9.169173626,647.9609,352.4866999,0.051824115,0.850180912,0.0082
T4,Low,High,6,524,T4_6_524,199_1,199,3502,2,0.002780863,5.484847273,648.9216,591.590235,0.205303523,0.591542402,0.0049
T4,Low,High,6,526,T4_6_526,207_14B,207,3218.6,2,0.000412087,6.118745736,648.6146452,311.1524632,0.03003737,0.872689917,0.0098
T4,Low,High,6,535,T4_6_535,283_22,283,2890,2,0.000508794,6.689004948,648.9022667,359.5094602,0.038547492,0.637635684,0.0067
T4,Low,High,6,542,T4_6_542,255_28,255,3341.67,1,0.000464712,4.048892577,648.2633548,444.8803435,0.033973076,1.593694944,0.0198
T4,Low,High,6,544,T4_6_544,194_2,194,3108,1,0.000649693,6.785593471,648.7175806,416.3684672,0.049349087,0.707528297,0.005
T4,Low,High,6,547,T4_6_547,157_3,157,3004,2,0.000904959,9.360049399,649.0579333,416.9029332,0.068292814,0.374265982,0.0031
T4,Low,High,6,548,T4_6_548,199_1,199,3502,2,0.001563073,1.664844234,649.5482581,615.142668,0.124916968,0.701793518,0.0066
T4,Low,High,6,555,T4_6_555,303_8,303,3570,1,0.001738689,6.733431372,646.7987419,552.9084525,0.134441765,1.648963871,0.0218
T4,Low,High,6,564,T4_6_564,283_22,283,2890,2,0.000767048,7.794865541,649.0840968,423.0082753,0.058412071,0.443298378,0.0044
T4,Low,High,7,594,T4_7_594,304_19A,304,3673,1,0.000686301,10.41191982,647.8574333,317.0495946,0.052228956,0.793119866,0.0105
T4,Low,High,7,602,T4_7_602,210_3,210,3161.3,2,0.001547751,5.051431866,649.3873548,562.116372,0.111024392,0.398567105,0.0022
T4,Low,High,7,604,T4_7_604,102_5,102,3072,1,0.001703587,3.102181306,649.4158,599.6354028,0.13572316,0.583800451,0.0043
T4,Low,High,7,605,T4_7_605,56_3,56,3132,2,0.001021829,13.11254373,648.065,364.0448551,0.077370291,0.566882854,0.0064
T4,Low,High,7,620,T4_7_620,255_28,255,3341.67,1,0.001355177,4.528718097,648.2109,562.4738971,0.100862331,1.335486542,0.0127
T4,Low,High,7,624,T4_7_624,102_5,102,3072,1,0.001508501,9.900707788,648.4357,498.0512563,0.115855307,0.5666678,0.0058
T4,Low,High,7,648,T4_7_648,91_2,91,2910,2,0.000415536,7.595206188,649.1934,251.6756429,0.031421243,0.410323401,0.0037
T4,Low,High,7,668,T4_7_668,189_1,189,3273,2,0.001973047,7.795135689,648.5305,553.3648979,0.153293606,0.649105241,0.0046
T4,Low,High,7,670,T4_7_670,269_15,269,2800,1,0.001552858,9.815262777,647.848129,497.6253494,0.115314669,0.806309856,0.008
T4,Low,High,8,688,T4_8_688,304_19A,304,3673,1,0.000994032,6.581447317,649.2466129,508.0935722,0.081781881,0.428101215,0.0038
T4,Low,High,8,700,T4_8_700,303_8,303,3570,1,0.000542178,2.140191434,649.6136774,555.9888888,0.042338869,0.644445733,0.0057
